Enero	Febrero	Marzo	Abril	Mayo	Junio	Julio	Agosto	Septiembre	Octubre	Noviembre	Diciembre
562	293	-671	-738	503	449	421	-336	-119	-416	-247	-544
694	178	-928	533	415	-859	-227	920	978	802	196	133
885	-680	-936	457	102	-750	-342	100	-664	-758	-650	143
-457	-222	705	199	286	-164	-826	144	-116	-216	166	577
892	-989	-255	-703	876	921	-101	-521	713	-126	-62	105
130	-324	249	780	-508	-43	61	367	-382	-478	-772	503
374	-516	487	-476	-734	233	-16	745	-676	-470	-769	-466
-41	486	-923	-927	587	287	876	-166	-955	84	784	156
153	-573	-167	229	-523	-135	296	679	244	488	287	831
331	784	905	138	-736	-541	396	749	-928	-800	331	886
244	-421	-412	-497	-463	-228	-615	485	-366	-594	703	298
-46	-842	521	-459	-82	-711	317	481	-683	-825	909	-331
514	-754	-382	746	-688	953	-823	-208	-980	856	519	-72
238	992	181	-841	542	-705	-244	-571	-722	614	-908	-548
186	-470	650	-439	-371	582	-552	400	365	49	970	-700
-65	678	-211	-704	900	775	-681	-160	-403	-223	75	0
-662	365	-140	-33	518	-494	807	558	-519	492	-944	648
204	-145	-861	222	379	216	450	457	71	-231	259	634
975	-212	12	421	689	-31	-125	93	228	831	165	413
474	307	129	-882	12	419	253	-183	18	455	-37	-68
-480	870	187	-77	-650	-57	501	-169	77	-796	-660	133
-368	-913	297	-452	568	836	-65	-553	394	-214	-636	-429
594	345	-730	-436	659	604	199	-225	-801	136	707	-146
989	-55	-778	-502	-104	-676	786	-724	169	-213	-795	-3
393	-80	-733	-516	-88	544	-133	-859	95	356	431	-991
148	-490	-502	453	815	-94	559	-836	814	-870	'00'	946
-321	38	-916	-534	824	278	-655	160	-329	274	-297	-454
-670	-776	-979	-157	-381	826	655	-377	-679	96	75	-155
-693	964	766	256	563	134	-307	-772	433	-129	-72	1
466	-274	-280	856	117	147	-53	-159	531	-32	-581	-209
-652	233	-65	431	-593	-72	-140	-159	-581	771	191	313
777	-905	-405	110	-444	-978	-285	-346	207	-363	696	-971
-380	946	-790	9	-59	-743	-296	321	-767	944	-116	-873
244	-44	-271	462	-55	-699	674	-203	-792	-848	263	-378
126	-221	290	-960	-303	-384	506	-11	-456	268	630	271
